"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"SISVF","Consultas en SISVF","","0","0","3","0","0"
"Comité","Gestión de reuniones y documentos en Comité","","0","1","5","0","0"
"SGU - Gestión de Solicitudes","Validar Estado de Deshabilitación","","0","1","0","0","0"
"SISSOAP","Consultas en SISSOAP","","0","0","2","0","0"
"ESOAP","Consultas en ESOAP","","0","0","3","0","0"
"","","","0","1","0","0","0"
"SGU - Gestión de Solicitudes","Modificar Usuario","","0","1","0","0","0"
"SGPS","Flujo Completo de SGPS","","0","0","1","0","0"
"SRCEI","Consultas en SRCEI","","0","0","3","0","0"
"SGU - Gestión de Solicitudes","Aprobar Solicitud de Deshabilitación","","0","1","0","0","0"
"EMANAGER","Gestión de Archivos en Emanager","","0","3","0","0","0"
"EMANAGER BORRADOR 360","Gestión de Normativas","","0","3","0","0","0"
"SGU - Gestión de Solicitudes","Aprobar Solicitud de Activación","","0","1","0","0","0"
"SISGEN","Consultas en SISGEN","","0","2","0","0","0"
"SGU - Gestión de Solicitudes","Solicitud de deshabilitación de DRP Pruebas","","0","1","0","0","0"
"SGU - Gestión de Solicitudes","Validar Estado","","0","1","0","0","0"
"SGM","SGM - NUEVO ENVIO","","0","0","1","0","0"
"SGU - Gestión de Solicitudes","Nueva Solicitud","","0","1","0","0","0"
"SCAP","Consultas en Sistema Cambio de Apellidos","","0","0","1","0","0"
"SCIG","Consultas en SCIG","","0","1","0","0","0"
