"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 27 18:16:47 UTC 2025","Thu Feb 27 18:17:05 UTC 2025","18310","","tests.sisvf.TestFlujoSisvf","","tests.sisvf.TestFlujoSisvf","step_sisvf_rut_en_linea","step_sisvf_rut_en_linea()","SISVF - Consulta Fallecidos por Rut"
"passed","Thu Feb 27 18:21:41 UTC 2025","Thu Feb 27 18:22:12 UTC 2025","30595","","tests.comite.TestFlujoComite","","tests.comite.TestFlujoComite","TC21171_stepSubirMinuta","tests.comite.TestFlujoComite.TC21171_stepSubirMinuta","Subir un documento de tipo 'Minuta' al sistema Comité."
"broken","Thu Feb 27 18:18:34 UTC 2025","Thu Feb 27 18:18:34 UTC 2025","159","","tests.sgu.TestFlujoSgu","","tests.sgu.TestFlujoSgu","testValidarEstadoSolicitudDeshabilitacion","testValidarEstadoSolicitudDeshabilitacion()","SGU - Validar Estado de Solicitud para desactivar DRP Pruebas"
"passed","Thu Feb 27 18:25:09 UTC 2025","Thu Feb 27 18:25:34 UTC 2025","25381","","tests.sissoap.TestFlujoSisoap","","tests.sissoap.TestFlujoSisoap","stepSissoapConsultaRut","stepSissoapConsultaRut()","SISSOAP - Consulta por Rut"
"passed","Thu Feb 27 18:24:41 UTC 2025","Thu Feb 27 18:25:08 UTC 2025","26751","","tests.esoap.TestFlujoEsoap","","tests.esoap.TestFlujoEsoap","stepEsoapUltimasPolizas","stepEsoapUltimasPolizas()","ESOAP - Consulta por últimas polizas de compañias"
"passed","Thu Feb 27 18:24:16 UTC 2025","Thu Feb 27 18:24:41 UTC 2025","25203","","tests.esoap.TestFlujoEsoap","","tests.esoap.TestFlujoEsoap","stepEsoapConsultaPatente","stepEsoapConsultaPatente()","ESOAP - Consulta por Patente"
"passed","Thu Feb 27 18:20:59 UTC 2025","Thu Feb 27 18:21:41 UTC 2025","41715","","tests.comite.TestFlujoComite","","tests.comite.TestFlujoComite","TC21121_stepSubirTabla","tests.comite.TestFlujoComite.TC21121_stepSubirTabla","Subir un documento de tipo 'Tabla' al sistema Comité."
"broken","Thu Feb 27 18:19:06 UTC 2025","Thu Feb 27 18:19:07 UTC 2025","178","","tests.svm.TestFlujoSvm","","tests.svm.TestFlujoSvm","step_svm_consulta_bono","step_svm_consulta_bono()","SVM - Consulta Bono por JSON"
"passed","Thu Feb 27 18:22:42 UTC 2025","Thu Feb 27 18:23:12 UTC 2025","29960","","tests.comite.TestFlujoComite","","tests.comite.TestFlujoComite","TC21173_stepSubirAsistencia","tests.comite.TestFlujoComite.TC21173_stepSubirAsistencia","Subir un documento de tipo 'Asistencia' al sistema Comité."
"broken","Thu Feb 27 18:18:34 UTC 2025","Thu Feb 27 18:18:34 UTC 2025","160","","tests.sgu.TestFlujoSgu","","tests.sgu.TestFlujoSgu","modificarUsuario","modificarUsuario()","SGU - Modificar usuario en el sistema"
"passed","Thu Feb 27 18:23:12 UTC 2025","Thu Feb 27 18:23:50 UTC 2025","37260","","tests.comite.TestFlujoComite","","tests.comite.TestFlujoComite","TC21174_stepEliminarDocumentos","tests.comite.TestFlujoComite.TC21174_stepEliminarDocumentos","Eliminar documentos relacionados con el último test ejecutado en el sistema Comité."
"passed","Thu Feb 27 18:18:31 UTC 2025","Thu Feb 27 18:18:33 UTC 2025","1727","","tests.sgps.TestFlujoSgps","","tests.sgps.TestFlujoSgps","testFlujoCompleto","testFlujoCompleto()","Ejecutar flujo completo de SGPS"
"passed","Thu Feb 27 18:15:43 UTC 2025","Thu Feb 27 18:16:13 UTC 2025","29806","","tests.srcei.TestFlujoSrcei","","tests.srcei.TestFlujoSrcei","step_srcei_rvm_en_local","step_srcei_rvm_en_local()","SRCEI - Consulta RVM en local"
"broken","Thu Feb 27 18:18:34 UTC 2025","Thu Feb 27 18:18:34 UTC 2025","157","","tests.sgu.TestFlujoSgu","","tests.sgu.TestFlujoSgu","testAprobarSolicitudDeshabilitacion","testAprobarSolicitudDeshabilitacion()","SGU - Aprobar Solicitud para deshabilitar DRP Pruebas"
"broken","Thu Feb 27 18:25:08 UTC 2025","Thu Feb 27 18:25:08 UTC 2025","158","","tests.emanagerArchivo.TestFlujoEmanager","","tests.emanagerArchivo.TestFlujoEmanager","step_emanager_subir_archivo","step_emanager_subir_archivo()","EMANAGER - Subir Archivo"
"broken","Thu Feb 27 18:19:06 UTC 2025","Thu Feb 27 18:19:06 UTC 2025","164","","tests.emanager360.TestFlujo360","","tests.emanager360.TestFlujo360","BORRADOR_360_Modificar_Normativas","BORRADOR_360_Modificar_Normativas()","Modificar una normativa existente en EMANAGER BORRADOR 360."
"broken","Thu Feb 27 18:18:33 UTC 2025","Thu Feb 27 18:18:34 UTC 2025","162","","tests.sgu.TestFlujoSgu","","tests.sgu.TestFlujoSgu","testAprobarSolicitud","testAprobarSolicitud()","SGU - Aprobar Solicitud para activar DRP Pruebas"
"passed","Thu Feb 27 18:15:05 UTC 2025","Thu Feb 27 18:15:43 UTC 2025","38433","","tests.srcei.TestFlujoSrcei","","tests.srcei.TestFlujoSrcei","step_srcei_rvm_en_linea","step_srcei_rvm_en_linea()","SRCEI - Consulta RVM en línea"
"broken","Thu Feb 27 18:20:10 UTC 2025","Thu Feb 27 18:20:59 UTC 2025","49647","","tests.comite.TestFlujoComite","","tests.comite.TestFlujoComite","TC21092_stepCrearReunion","tests.comite.TestFlujoComite.TC21092_stepCrearReunion","Crear una nueva reunión con los datos configurados y la fecha dinámica del día siguiente."
"broken","Thu Feb 27 18:25:08 UTC 2025","Thu Feb 27 18:25:09 UTC 2025","155","","tests.emanagerArchivo.TestFlujoEmanager","","tests.emanagerArchivo.TestFlujoEmanager","step_emanager_borrar_archivo","step_emanager_borrar_archivo()","EMANAGER - Eliminar archivo"
"passed","Thu Feb 27 18:14:19 UTC 2025","Thu Feb 27 18:15:05 UTC 2025","45900","","tests.srcei.TestFlujoSrcei","","tests.srcei.TestFlujoSrcei","step_srcei_rut_en_linea","step_srcei_rut_en_linea()","SRCEI - Consulta Rut en línea"
"broken","Thu Feb 27 18:19:38 UTC 2025","Thu Feb 27 18:20:10 UTC 2025","31692","","tests.sisgen.TestFlujoSisgen","","tests.sisgen.TestFlujoSisgen","SISGEN_Consulta_Patente","SISGEN_Consulta_Patente()","SISGEN - Consulta por Patente"
"broken","Thu Feb 27 18:18:34 UTC 2025","Thu Feb 27 18:18:34 UTC 2025","161","","tests.sgu.TestFlujoSgu","","tests.sgu.TestFlujoSgu","testSolicitudDeshabilitar","testSolicitudDeshabilitar()","SGU - Solicitud para Deshabilitar el perfil DRP Pruebas"
"passed","Thu Feb 27 18:17:33 UTC 2025","Thu Feb 27 18:17:56 UTC 2025","22547","","tests.sisvf.TestFlujoSisvf","","tests.sisvf.TestFlujoSisvf","step_sisvf_nombres_en_linea","step_sisvf_nombres_en_linea()","SISVF - Consulta Fallecidos por Nombres"
"broken","Thu Feb 27 18:18:34 UTC 2025","Thu Feb 27 18:18:34 UTC 2025","164","","tests.sgu.TestFlujoSgu","","tests.sgu.TestFlujoSgu","testValidarEstadoSolicitud","testValidarEstadoSolicitud()","SGU - Validar Estado de Solicitud para activar DRP Pruebas"
"passed","Thu Feb 27 18:17:56 UTC 2025","Thu Feb 27 18:18:31 UTC 2025","35864","","tests.sgm.TestFlujoSgm","","tests.sgm.TestFlujoSgm","SGM_Nuevo_Envio","SGM_Nuevo_Envio()","SGM - NUEVO ENVIO"
"passed","Thu Feb 27 18:17:05 UTC 2025","Thu Feb 27 18:17:33 UTC 2025","27920","","tests.sisvf.TestFlujoSisvf","","tests.sisvf.TestFlujoSisvf","step_sisvf_fecnac_nombre_en_linea","step_sisvf_fecnac_nombre_en_linea()","SISVF - Consulta Fallecidos por Fecha Nacimiento y Nombre"
"broken","Thu Feb 27 18:18:33 UTC 2025","Thu Feb 27 18:18:33 UTC 2025","170","","tests.sgu.TestFlujoSgu","","tests.sgu.TestFlujoSgu","testCrearNuevaSolicitud","testCrearNuevaSolicitud()","SGU - Nueva Solicitud para Activar el perfil DRP Pruebas"
"passed","Thu Feb 27 18:25:34 UTC 2025","Thu Feb 27 18:26:02 UTC 2025","27894","","tests.sissoap.TestFlujoSisoap","","tests.sissoap.TestFlujoSisoap","stepSissoapConsultaPatente","stepSissoapConsultaPatente()","SISSOAP - Consulta por Patente"
"broken","Thu Feb 27 18:19:07 UTC 2025","Thu Feb 27 18:19:38 UTC 2025","31426","","tests.sisgen.TestFlujoSisgen","","tests.sisgen.TestFlujoSisgen","SISGEN_Consulta_Rut","SISGEN_Consulta_Rut()","SISGEN - Consulta por Rut"
"broken","Thu Feb 27 18:19:06 UTC 2025","Thu Feb 27 18:19:06 UTC 2025","158","","tests.emanager360.TestFlujo360","","tests.emanager360.TestFlujo360","BORRADOR_360_Agregar_Normativa","BORRADOR_360_Agregar_Normativa()","Agregar una nueva normativa como borrador en EMANAGER BORRADOR 360."
"broken","Thu Feb 27 18:25:08 UTC 2025","Thu Feb 27 18:25:08 UTC 2025","174","","tests.emanagerArchivo.TestFlujoEmanager","","tests.emanagerArchivo.TestFlujoEmanager","step_emanager_validar_archivo","step_emanager_validar_archivo()","EMANAGER - Validar que archivo subió correctamente"
"passed","Thu Feb 27 18:18:34 UTC 2025","Thu Feb 27 18:19:06 UTC 2025","31480","","tests.scap.TestFlujoScap","","tests.scap.TestFlujoScap","SCAP_Consultas","SCAP_Consultas()","SCAP - Consultas por Fecha"
"passed","Thu Feb 27 18:23:50 UTC 2025","Thu Feb 27 18:24:16 UTC 2025","26395","","tests.esoap.TestFlujoEsoap","","tests.esoap.TestFlujoEsoap","stepEsoapConsultaPoliza","stepEsoapConsultaPoliza()","ESOAP - Consulta por Poliza"
"broken","Thu Feb 27 18:16:13 UTC 2025","Thu Feb 27 18:16:47 UTC 2025","33408","","tests.scig.TestFlujoScig","","tests.scig.TestFlujoScig","SCIG_Consultas","SCIG_Consultas()","SCIG - Consultas por Fecha"
